Season,Episode,Character,Line
3,1,Mr. Garrison,"Okay, children, we have a special guest today, a woman recruiting young people  for a national choir tour. Now I know that choir tours are totally stupid and lame , but please, give her your full attention.  Go ahead.
"
3,1,Choir Teacher,"Uh. Thank you, Mr. Garrison.  How are we all doing today?!  I can't hear you! I said, How are we all doing?! 
"
3,1,Mr. Garrison,"Eric Cartman, you say ""excuse me""!
"
3,1,Cartman,"Okay.
"
3,1,Mr. Garrison,"Go ahead.
"
3,1,Choir Teacher,"Children, we are a national choir called, ""Getting Gay With Kids!"" We're gonna do a big tour down in Central America to help save the rainforest, and you can be a part of it!
"
3,1,Kenny,"(This sounds fucking screwed.) 
"
3,1,Mr. Garrison,"Kenny McCormick, you speak when you're spoken to!!  Go ahead.
"
3,1,Choir Teacher,"You see, we take kids from all over the country and put them in a choir  where we sing and dance to raise awareness about our vanishing rainforest.
"
3,1,Choir Boy,"Did you know over 10,000 acres of rainforest are bulldozed every year?
"
3,1,Choir Girl,"That's right. And over 30% of the world's oxygen  is made in the rainforest. 
"
3,1,Choir Teacher,"So, who wants to join the fun??
"
3,1,Cartman,"What if you don't have any rhythm?
"
3,1,Choir Teacher,"Excuse me?
"
3,1,Cartman,"Well, like my friend Kyle. He's Jewish, so he doesn't have any rhythm.
"
3,1,Kyle,"Shut up, fatass!
"
3,1,Stan,"Choirs suck.
"
3,1,Mr. Garrison,"Kyle Broflovski, you watch your language!! Eric Cartman, you be nice to people!! Stan Marsh, you mind your manners!! Kenny McCormick, you pay attention!!  Go ahead.
"
3,1,Choir Teacher,"Well, uh, that's all, really.  So, if anyone is interested in seeing the rainforest and joining our choir, I'll leave information packets up front.
"
3,1,Cartman,"Oh, that's good. We need some more toilet paper. 
"
3,1,Mr. Garrison,"All right, that does it!!
"
3,1,Mr. Mackey,"I am tired of seeing you in my office, young man!  You get sent here every day, Craig!
"
3,1,Craig,"I know.
"
3,1,Mr. Mackey,"Why can't you behave?
"
3,1,Craig,"...I don't know.
"
3,1,Mr. Mackey,"What do you have to say for yourself?!  Well, I tell you what, young man. Uh, you're gonna be held back a grade if you don't luh-  Did you just flip me off?
"
3,1,Craig,"No.
"
3,1,Mr. Mackey,"Yes you did, you just flipped me the bird! Now, see? This is exactly what I'm talking about! If you don't shape up, m'kay, and get your head straight, uh-  There! You just flipped me off again!
"
3,1,Craig,"No I didn't.
"
3,1,Mr. Mackey,"Yes you did! And until you stop flipping people off, you can just go back to the waiting room, m'kay?! Next!  Well, well, well, if it isn't Stan, Kyle, Kenny, and Eric. 
"
3,1,Kyle,"Hey, Craig.
"
3,1,Eric,"Ey, don't flip me off, you son of a bitch!
"
3,1,Mr. Mackey,"Sit down, boys. Now, let's see. What did Mr. Garrison send you in here for? ""The boys were being rude while a choir teacher was giving some stupid presentation-""
"
3,1,Stan,"It's just some dumb activist kids' choir thing.
"
3,1,Mr. Mackey,"Uh, young man, ""Getting Gay With Kids"" is not dumb, m'kay? It just so happens that I'm on the board of directors.
"
3,1,Kyle,"Dude! All those choirs are the same. They don't even really sing. They use prerecorded tapes.
"
3,1,Mr. Mackey,"Well, guess what, boys? I think that ""Getting Gay With Kids"" is just what you need. I'm gonna sign up all four of you.
"
3,1,Stan,"What?!
"
3,1,Kyle,"You can't do that! 
"
3,1,Kenny,"(Woohoo!)  (I mean, 'Oh.') 
"
3,1,Mr. Mackey,"I think this will be very good for you 
"
3,1,Stan,"But we don't even care about the rainforest.
"
3,1,Mr. Mackey,"And that's exactly why you need to go!
"
3,1,Cartman,"Please, Mr. Mackey, we'll be good. Don't send us to that ole kids' choir. Have mercy, Mr. Mackey.
"
3,1,Sheila,"Be safe, Kyle. Bring me something back from the rainforest.
"
3,1,Choir Teacher,"Oh, nonono. The rainforest is very fragile. We must take only pictures and leave only footprints.
"
3,1,Sheila,"Oh, I didn't realize.
"
3,1,Choir Boy,"Did you know that right now, bulldozers are tearing down thousands of acres of rainforest every day?
"
3,1,Cartman,"Aw, man, this is gonna suck donkey balls.
"
3,1,Stan,"Please don't make me go on a choir tour, Mom, please!
"
3,1,Sharon,"Stan, you should be excited. I would love to see the rainforest. Besides, your dad and I need some time alone. 
"
3,1,Stan,"Nooo-ho! 
"
3,1,Choir Teacher,"Okay, children, that's all of us. We're ready to head for the Latin American nation of Costa Rica, a country filled with virgin rainforest.
"
3,1,Cartman,"Whoopee.
"
3,1,Choir Teacher,"And you must be Eric Cartman. I've heard about you. You don't respect nature or other cultures.
"
3,1,Cartman,"Yeah, pretty much.
"
3,1,Choir Teacher,"Well, I'm gonna change the way you think, kiddo.
"
3,1,Choir Girl,"My name's Kelly.
"
3,1,Kenny,"(My name's Kenny.)
"
3,1,Kelly,"Lenny?
"
3,1,Kenny,"(No, it's Kenny.)
"
3,1,Kelly,"Johnny?
"
3,1,Kenny,"(Kenny!)
"
3,1,Kelly,"Oh. 
"
3,1,Choir Girl,"Now, we've got a looong trip ahead of us, so let's take the opportunity to learn our choreography.
"
3,1,Cartman,"The nightmare begins.
"
3,1,Choir Teacher,"Oh, look, children! I think we're entering San José, which is the capital of Costa Rica.  Oh! This is so exciting!
"
3,1,Cartman,"Oh my God! Dude, look at how dirty and crappy everything is!
"
3,1,Choir Teacher,"Eric, Costa Rica is a Third-World country. These people are much poorer than those in the U.S.
"
3,1,Cartman,"Well, why the hell don't they get jobs?!  Ey! Why don't you people quit slacking off, and get a job! What's wrong with you?! Go to college!
"
3,1,Choir Teacher,"Eric, sit down!
"
3,1,Cartman,"Look, you've gotta be firm with these people or they just slack off and be poor forever. Right, Kenny?  Hey, maybe that's it, Kenny. Maybe you're Costa Rican; that's why your family's so poor.
"
3,1,Kenny,"(Argh! That's just so untrue.)
"
3,1,Kelly,"Your family isn't poor? 
"
3,1,Cartman,"Whoa, dude, look over there!  Wow! Costa Rican prostitutes! Hey, look at the prostitutes, you guys!
"
3,1,Redheaded Prostitute,"What are chu looking at, man?
"
3,1,Middle Prostitute,"Yeah, why don't chu take a peekture?
"
3,1,Cartman,"Okay.  Kugheek! 
"
3,1,Choir Teacher,"Eric, SIT DOWN!
"
3,1,Choir Teacher,"Kids, this is the Costa Rican Capitol building. This is where all the leaders of the Costa Rican government make their-
"
