Season,Episode,Character,Line
14,1,Man,"Put it down, you bitch!
"
14,1,Man,"Put the golf club down, you crazy bitch! 
"
14,1,Woman,"You motherfucker! I never should have married you! 
"
14,1,Tiger,"You're overreacting, you stupid Swedish cow!
"
14,1,Elin,"Then why-a the fuck are you getting a text-a message from some-a low-life-a hooker on Thanksgiving?!
"
14,1,Tiger,"God, shut up!  Shut! Up!  Where are my fucking pills?! 
"
14,1,Elin,"Oh yeah! Take more vitamins, Tiger! That'll help!!
"
14,1,Tiger,"Will you just listen to me?!
"
14,1,Elin,"Listen to this-a! 
"
14,1,Tiger,"Aaaah!  You fucking whore!
"
14,1,Elin,"Oh where the fuck do ya think-a you're going?!
"
14,1,Tiger,"I'm getting the fuck away from you! 
"
14,1,Elin,"Open the door, you motherfucker! 
"
14,1,Cartman,"Ooo yeah, take that from me in the car, Kenny! 
"
14,1,Stan,"What are you guys doing?
"
14,1,Cartman,"Dude, check it out! It's EA Sports Tiger Woods PGA Tour '11 for Xbox. 
"
14,1,Tiger,"D'Aaaah! Fuck you, cunt!
"
14,1,Cartman,"Stop breaking through the window, Kenny! Whoa, I'm gonna crash I'm gonna crash! 
"
14,1,Tiger,"Aw, look what you did, you crazy bitch!
"
14,1,Elin,"It serves you right, you cheating turd! 
"
14,1,Cartman,"Oh dude, was that a combo move?
"
14,1,Kenny,"(Yeah dude, I fucked you up.)
"
14,1,Cartman,"Dude, here come the cops! We've gotta lie to them. Hit X to lie.
"
14,1,Kyle,"Wow, I didn't know golf games were this cool.
"
14,1,Cartman,"Yeah dude, EA Sports outdid themselves this time.
"
14,1,Chairman,"I've gathered you together here because you are the best minds our country has to offer. As you've all seen on the news, our country is facing a major crisis, and we need to find out what's causing it.  Why? Why are rich successful men suddenly going out and trying to have sex with lots of women?
"
14,1,Expert 1,"Tiger Woods was only the most prevalent, but our data shows that the numbers are growing. David Letterman and before that, Bill Clinton. There's a pattern here, people.
"
14,1,Expert 2,"Why would a man who's famous and makes tons of money use that and have sex with lots of different women? 
"
14,1,Chairman,"Aand these rich celebrities have perfectly good wives at home. Why would they even think of sex with others? Dammit!  I want answers!
"
14,1,Expert 3,"We believe that it may be an outbreak of sex addiction, sir.
"
14,1,Chairman,"Sex awhowho?
"
14,1,Expert 4,"It's a new phenomena we don't completely understand yet, but it... seems to make people... different. Of course, we all know the normal healthy male thinks only of sex occasionally and has no desire for sex with multiple partners. 
"
14,1,Expert 5,"Definitely true.
"
14,1,Chairman,"Yes, we all know that, go on.
"
14,1,Expert 4,"But in the sex addict, their entire lives are consumed with thoughts of wanting more and more. The mere sight of an attractive woman could... can make them think about sex with her.
"
14,1,Expert 6,"But what about love? How could tons of fame and money make you forget about love? 
"
14,1,Chairman,"What could be causing this outbreak of sexual addiction?
"
