Season,Episode,Character,Line
2,1,Announcer 1,"Since the last South Park, you've waited four long weeks to find out who the father of Eric Cartman is. Now, finally, the shocking truth about Cartman's lineage... will not be seen tonight, so that we can bring you the following special presentation.
"
2,1,Announcer 2,"Now, get ready for Canada's hottest action stars,  Terrance and Phillip in HBC's Movie of the Week:  Not Without My Anus. Based on a true story.
"
2,1,Scott,"Ladies and gentlemen, the case before you today is of a murderer. On the night in question, this monster entered the home of Dr. Jeffrey O'Dwyer and struck him repeatedly on the head with his hammer.  That monster is sitting right over there, and his name is Terrance! 
"
2,1,Phillip,"Oh, Terrance! You farted in court!
"
2,1,Terrance,"Yes, Phillip. I'm making a case for our defense. 
"
2,1,Scott,"All of these things link Terrance to the murder: hair fibers, blood samples, nail clippings, a piece of his shirt,  a watch with his initials on it, a day planner with the murder scheduled, a haiku called, Time to Kill Dr. Jeffrey O'Dwyer.
""Dr. O'Dwyer
Time to have your head smashed in
with my new hammer""
Terrance, you may be a famous surgeon, but you're not God! J'accuse, Terrance!
"
2,1,Terrance,"Would you like a monkey claw, Phillip?
"
2,1,Phillip,"Yes, please.
"
2,1,Terrance,"That's called a monkey claw because it feels like my colon is being ripped apart by a thousand monkeys!
"
2,1,Phillip,"The monkey claw is smelly.
"
2,1,Judge,"Come on, get a move on. I ain't gettin' any younger up here.
"
2,1,Phillip,"My sentiments exactly, Your Honor. I see from your actions that you're southern Canadian.
"
2,1,Judge,"That is correct.
"
2,1,Phillip,"Good people of the jury. My client, Terrance, is an innocent man. 
"
2,1,Terrance,"Oh, Phillip, now you farted during the closing argument!
"
2,1,Phillip,"I have, haven't I, Terrance? 
"
2,1,Scott,"Your Honor, the defense is trying to make a mockery of this court! They think that farts are funny, but they're not! 
"
2,1,Judge,"Sustained.
"
2,1,Phillip,"Good people of the jury. My client, Terrance, is no more a murderer than you or me. He loves puppies and hates mean things. Would a murderer go to the zoo and feed animals like this?  Of course not. So in summation, find Terrance innocent. Or else he'll kill you.  Just kidding.  The defense rests! 
"
2,1,Scott,"Goddammit. That isn't funny!
"
2,1,Judge,"Madame Foreperson, have you reached a verdict so we can get the hell outta here?!
"
2,1,Madame Foreperson,"We have, Your Honor. We have found Terrance, in the above entitled action of murder against Dr. Jeffrey O'Dwyer--
"
2,1,Judge,"You're gonna have to repeat that verdict because we have some flatulence issues.
"
2,1,Madame Foreperson,"I said, we find--  We find Terrance--  Not guilty!
"
2,1,Phillip,"Did you hear that, Terrance? You're not guilty!
"
2,1,Terrance,"Oh, Phillip, you saved me from the gas chamber. 
"
2,1,Terrance,"That sure was fun, Phillip. Let's go home and eat Kraft Dinner.
"
2,1,Phillip,"Hear hear!
"
2,1,Scott,"Well, looks like you got away with it, Terrance and Phillip!
"
2,1,Phillip,"Oh, hello, Scott. No hard feelings, right, old pal?
"
2,1,Scott,"There are hard feelings! This isn't over! I'm going ta see to it that you both pay for what you've done! And do you know why??
"
2,1,Phillip,"'Cause you're a dick?
"
2,1,Scott,"No! Because I hate you! You think farting is sooo funny! Well it isn't!! Fart jokes are the lowest form of comedy, and if I--  Ugh! I hate you both! I've hated you ever since I could remember! I hate you, and I wish you both had cancer! 
"
2,1,Phillip,"Cancer??
"
2,1,Scott,"Yes! In the head!
"
2,1,Terrance,"Head cancer??
"
2,1,Scott,"This is not the end, Terrance and Phillip. You'll rue this day! 
"
2,1,Terrance,"Wow, Scott really hates us, Phillip.
"
2,1,Phillip,"Yes, perhaps he's homophobic.
"
2,1,Terrance,"But we're not gay, Phillip.
"
2,1,Phillip,"We're not? 
"
2,1,Terrance,"Well, let us board the subway and return home. There we can eat Kraft Dinner!
"
2,1,Phillip,"Yes. It's been a long day, and only Kraft dinner can calm my nerves.
"
2,1,Terrance,"Say, Phillip, why does Scott always try to convict me of murder? He does it every week.
"
2,1,Phillip,"He sure does seem to hate us. I wonder what he'll try to do next.
"
2,1,Terrance,"God only knows.
"
2,1,Phillip,"The subway certainly is wonderful, Terrance.
"
2,1,Terrance,"It sure is. Let's look for treasure.
"
2,1,Phillip,"Yes, let's look for treasure.
"
2,1,Scott,"Hello?
"
2,1,Voice,"Hello, Is this Scott, from Canada?
"
2,1,Scott,"Yess, yes it is.
"
2,1,Voice,"You're a Journalist, right?
"
2,1,Scott,"Yes. I'm a television critic for a magazine.
"
2,1,Voice,"I understand that you hate Terrance and Phillip. 
"
2,1,Scott,"Yes! Yes I do! They think that fart jokes are a sophisticated form of comedy, but they're not!
"
2,1,Voice,"Well, what about I help you get rid of them once and for all?
"
2,1,Scott,"Who is this?
"
2,1,Voice,"Let's just say that I'm someone who can help you, if you help me.  Just call me your old pal, Saddam Hussein.
"
2,1,Scott,"Saddam Hussein?! The Iraqi dictator?
"
2,1,Saddam,"Eeeeeeyy, relax guy! I'm just your average Joe. Take a rest!
"
2,1,Scott,"What do you want?
"
2,1,Saddam,"You want Terrance and Phillip out of Canada, I want you to bring me and my friends into Canada. That sounds like a fair trade, doesn't it? Super! Let's get started.
"
2,1,Scott,"I'm not sure I should trust you.
"
2,1,Saddam,"Eeeeeeyy, relax guy! Trust me! 
"
2,1,Terrance,"Well. It's too bad we didn't find any treasure on the subway, Phillip. 
"
2,1,Phillip,"Oh. Hello, Ugly Bob.
"
2,1,Ugly Bob,"Hello, Terrance. Hello, Phillip.
"
2,1,Terrance,"My God, you're looking hideously ugly today, Ugly Bob.
"
2,1,Ugly Bob,"How can you guys say stuff like that?
"
2,1,Terrance,"Because you're God-damned ugly, Bob.
"
2,1,Ugly Bob,"I know, but--
"
2,1,Phillip,"Ugly Bob, your face looks like somebody tried to put out a forest fire with a screwdriver.
"
2,1,Ugly Bob,"I can't help how I look. Besides, it's not what on the outside that matters, it's what's on the inside.
"
2,1,Terrance,"No it isn't.  Wanna see what's on the inside of me? 
"
2,1,Phillip,"Wait wait. I've got an idea. Why don't you put this paper bag over your head, Ugly Bob?
"
2,1,Terrance,"Yes.  If people can't see your face, they won't know how wretchedly ugly you are.
"
2,1,Ugly Bob,"Really? Hey, thanks, you guys. Maybe now I can score with chicks.
"
2,1,Terrance,"Sure you can, Ugly Bob. If they can't see how horribly disfigured you are, they'll want to sleep with you.
"
2,1,Ugly Bob,"Thanks, you guys. 
"
