Season,Episode,Character,Line
15,1,Cartman,"Oh my God, isn't it awesome having an iPad, you guys?  Hey Bebe, where's your iPad? Oh right, you're not cool enough!  Hey, hey, did you see my iPad, Token? Funny, you don't seem to have one! I thought your family was rich!  Haha! You dumbasses have to play four-square 'cause you don't have iPads!  Oh, what should I do on my iPad next? Think I'll email some of my friends. Oh no, wait! Maybe I'll download some more cool apps!  This is so awesome! 
"
15,1,Craig,"Tom Saltzman says you don't really have an iPad.
"
15,1,Cartman,"What?
"
15,1,Craig,"Tom Saltzman says you just glued a piece of glass to an iPad cover and you're faking it. 
"
15,1,Cartman,"Tom Saltzman's dad is an alcoholic who drinks and drives! 
"
15,1,Stan,"Let me see your iPad, Cartman.
"
15,1,Cartman,"Seriously you guys! Tom Saltzman's dad is a drunk driver. He's the one who ran over Joey Potts's dog because Joey Potts doesn't know how to take care of his animals, which is why he gets beat by his mom! 
"
15,1,Kyle,"Just let us see your iPad, Cartman.
"
15,1,Cartman,"No, because the battery is dead; it just ran out of power!
"
15,1,Kyle,"So, plug it in.
"
15,1,Cartman,"I left my charger at home!  Fine! I'm gonna go home and charge my iPad and bring it tomorrow, and you guys are gonna feel really stupid! 
"
15,1,Cartman,"Well good going, Mom! You completely screwed me over!
"
15,1,Liane,"What happened, Eric?
"
15,1,Cartman,"YOU said I had to wait till my birthday to get an iPad! So the one I rubbed in everyone's faces today isn't real and tomorrow everyone's gonna call me a liar. Would you mind loaning me some of your lipstick, Mom? Because I wanna at least look pretty the next time you decide to fuck me!
"
15,1,Kyle,"You see? And then I can take all my homework on my iPad, and swipe it over to my iPhone.
"
15,1,Man,"Oh. Yeah, Apple's stuff is pretty neat alright. I just don't want any big company tracking where I am at all times. 
"
15,1,Kyle,"Aw, that's just a rumor. They don't really track y- 
"
15,1,Apple Man 1,"There he is!  Hello Kyle, we're from Apple. We're all ready for you now. 
"
15,1,Kyle,"What? Ready for what?
"
15,1,Apple Man 1,"To fulfill the agreement. Can we get a weight please? 
"
15,1,Apple Man 2,"83 pounds, sir.
"
15,1,Kyle,"What ""agreement""?!
"
15,1,Apple Man 1,"83 pounds, good. Let's get the bloodwork.
"
15,1,Kyle,"Hey! You can't do that! 
"
15,1,Apple Man 1,"You agreed we could take all the blood we needed.
"
15,1,Kyle,"What are you talking about?!
"
15,1,Apple Man 1,"When you downloaded the last iTunes update a window on your screen popped up and asked you if you agreed to our terms and conditions. You clicked ""Agree."" Alright, let's get him to the water tank.
"
15,1,Kyle,"The water tank?   Hey I'm not going with you!
"
15,1,Apple Man 1,"You've agreed to all of this!  Hey!
"
15,1,Kyle,"You guys!  You gotta help me. These business casual G-men are trying to kidnap me!
"
15,1,Stan,"What?
"
15,1,Kyle,"It's crazy, dude! They're saying it's because I agreed to the latest terms and conditions on iTunes!
"
15,1,Stan,"Why? What did the terms and conditions for the last update say?
"
