Season,Episode,Character,Line
18,9,Gerald,"There you are, Kyle. I was gonna see if you and your brother wanted to go down to the bowling alley.
"
18,9,Kyle,"Nono Dad, please. I just got Call Of Duty: Advanced Warfare. Me and Ike are going to play it together.
"
18,9,Gerald,"It's your day off. You boys really wanna spend it inside in front of the TV?
"
18,9,Kyle,"Please Dad, I've been looking forward to this all week. Aaand it's me and Ike's bonding time. Really. This is good for our relationship.
"
18,9,Gerald,"All right.  I swear I'll never understand you kids these days.
"
18,9,Kyle,"Yes! 
"
18,9,Kyle,"Heeey Ike! Look what I got.  The new Call Of Duty! Do you wanna go downstairs and play?
"
18,9,PewDiePie,"Aww, look at all the bright colors.
"
18,9,Ike,"...Meh. 
"
18,9,Kyle,"Meh? Ike, we have a whole day to play XBox! Mom and Dad are leaving!
"
18,9,Ike,"Maybe later, 'kay?
"
18,9,Kyle,"Well what are you watching?
"
18,9,PewDiePie,"How's it goin' bros? My name's PewDiePie. I'm playing Call Of Duty: Advanced Warfare. Here we go.  Agh! People are shooting at me, bros!
"
18,9,Kyle,"You're watching someone play Call Of Duty and talk about it?
"
18,9,Ike,"PewDiePie!
"
18,9,PewDiePie,"There's lots of bullet! And I've gotta run! RUN FOR THE BUNKER! RUUUUN!
"
18,9,Kyle,"Ike, we could go play the game downstairs. Isn't that better than watching some guy on YouTube playing it?
"
18,9,PewDiePie,"All right, I hope that's enough.
"
18,9,Ike,"Meh.
"
18,9,PewDiePie,"Uh, like I said, um... Look at this. Look at this. Ooohhh, gigrrig! 
"
18,9,Kyle,"Dude, I'm telling you. It's crazy. All my little brother wants to do is sit on YouTube watching this PewDiePie play video games. I swear, I don't understand kids these days.
"
18,9,Butters,"What's a PewDiePie do?
"
18,9,Kyle,"Google him. He's this guy from Sweden who has over 30 million YouTube subscribers. We didn't even know, but he's a bigger celebrity to kids than anyone. It just seems so lame.
"
18,9,Cartman,"He plays video games and makes millions of dollars, and it's lame how?
"
18,9,Kyle,"Because- because that's not even entertainment! I mean, it's just, just, rehashing shit, isn't it?? It's like everything these kids are into these days, you know, it's just... rehashed shit!
"
18,9,Announcer,"This Saturday, at the Pepsi Center, it's Women of Rock! Miley Cyrus, Iggy Azalea, Nicki Minaj, and Lorde!  All on one stage, on one night! With a special appearance by Michael Jackson's Hologram!
"
18,9,MJ Hologram,"Hee hee!
"
