Season,Episode,Character,Line
11,1,Announcer,"And now back to Wheel of Fortune!
"
11,1,Pat Sajak,"All right, Randy, congratulations on making it all the way to the bonus round!
"
11,1,Randy,"Thanks, Pat!
"
11,1,Pat Sajak,"You've got some family here watching tonight. 
"
11,1,Randy,"Yeah, they're all rooting for me.
"
11,1,Pat Sajak,"And I'm sure you have lots of friends watching back home?
"
11,1,Randy,"Yeah. Hi, everybody watching in South Park!
"
11,1,Jimbo,"That's us!
"
11,1,Stephen,"Hehey! 
"
11,1,Man 1,"Hey Randy!
"
11,1,Jimbo,"Good luck!
"
11,1,Pat Sajak,"Well let's see if you can't make everyone proud. The category is  People Who Annoy You.
"
11,1,Randy,"Okay. 
"
11,1,Pat Sajak,"As always, we give you the letters R, T, S, L, and E.  We just need three more consonants, and a vowel.
"
11,1,Randy,"Okay I'd like a B, an N, and a G.
"
11,1,Pat Sajak,"And a vowel?
"
11,1,Randy,"An O please.
"
11,1,Pat Sajak,"Okay, well, looks like you're gonna get a lot of help here.  The category is People Who Annoy You.  Audience, keep quiet, please. 
"
11,1,Randy,"Uh... Well, uh...
"
11,1,Pat Sajak,"Ten seconds, Mr. Marsh.
"
11,1,Randy,"I know it but I don't think I should say it.
"
11,1,Pat Sajak,"Five seconds, Mr. Marsh.
"
11,1,Randy,"Oh all right uh, I'd like to solve the puzzle!  Niggers!  Huh?  Ohhh...
"
11,1,Stan,"Oooo. 
"
11,1,Randy,"Oh naggers. Of course, naggers.  Right.
"
11,1,Pat Sajak,"Uhh, can we cut to a... Can we cut to a- 
"
11,1,Randy,"Well? Gave it my best shot. Least we had a fun trip, huh, gang?
"
11,1,Sharon,"I can't believe you said the N-word on national television.
"
11,1,Randy,"What? Well what was I supposed to do, Sharon? I thought I was gonna make $30,000! Stanley, the only reason Daddy used that word is that he thought he would win money.
"
11,1,Kyle,"Dude, did your dad know that the show was being broadcast live?
"
11,1,Cartman,"Dude, that was the funniest thing I've ever seen. I watched it on YouTube about sixty times.
"
11,1,Stan,"Can we just drop this please? I don't wanna talk about it!
"
11,1,Cartman,"Yeah well, it's not us you have to worry about. It's Token.  He is gonna want to kick your cracker teeth in.
"
11,1,Stan,"No he's not.  Is he?
"
11,1,Kyle,"I don't know.
"
11,1,Stan,"I just need to explain things.  Hey Token. Look, I don't know if you saw Wheel of Fortune last night, but-
"
11,1,Token,"Yeah, I was watching with my whole family. And then we saw all the replays this morning in the news.
"
11,1,Stan,"Listen, Token, my dad isn't a racist. He's just stupid, all right? He just blurted out the N-word, and it's no big deal, okay?
"
11,1,Token,"Uh, well, actually it is kind of a big deal, Stan.
"
11,1,Cartman,"Ohhhhhhhh?
"
11,1,Token,"It may be a mistake, but you don't understand how it feels when that word comes up. So don't say it isn't a big deal.
"
11,1,Cartman,"Oh shit here we go!  It's on! Race war!  Race war! Race war!  Race war is on, everybody! It's going down! Shit is going down! 
"
11,1,Stan,"Token, my dad wasn't trying to be offensive. Just forget about it.
"
11,1,Token,"That's easy for you to say, Stan.
"
11,1,Cartman,"Yeah, come on! Here we go!
"
11,1,Stan,"Yeah, but he didn't say it in anger or anything like that.
"
11,1,Token,"That doesn't mean I can just be fine.
"
